"cell_num" "coverage_mean" "coverage_variance" "eff_seq_err_rate" "ado_rate" "deletion_rate" "insertion_rate" "dataset" "total_snv_sites" "total_snv_entries" "parallel_mu_sites" "parallel_mu_entries" "prop_parallel_mu_sites" "prop_parallel_mu_entries"
40 20 2 0.001999 0.16334 0 0 1 1124 44960 175 2158 0.155693950177936 0.0479982206405694
40 20 2 0.001999 0.16334 0 0 2 1005 40200 133 1555 0.132338308457711 0.038681592039801
40 20 2 0.001999 0.16334 0 0 3 1022 40880 152 2067 0.148727984344423 0.0505626223091977
40 20 2 0.001999 0.16334 0 0 4 1216 48640 224 2715 0.184210526315789 0.0558182565789474
40 20 2 0.001999 0.16334 0 0 5 1030 41200 132 1437 0.128155339805825 0.034878640776699
40 20 2 0.001999 0.16334 0 0 6 1118 44720 189 2396 0.169051878354204 0.0535778175313059
40 20 2 0.001999 0.16334 0 0 7 1021 40840 142 1836 0.139079333986288 0.0449559255631734
40 20 2 0.001999 0.16334 0 0 8 920 36800 143 1085 0.155434782608696 0.0294836956521739
40 20 2 0.001999 0.16334 0 0 9 931 37240 140 1149 0.150375939849624 0.0308539205155747
40 20 2 0.001999 0.16334 0 0 10 1033 41320 159 1557 0.153920619554695 0.0376815101645692
40 20 2 0.001999 0.16334 0 0 11 1034 41360 151 1526 0.146034816247582 0.0368955512572534
40 20 2 0.001999 0.16334 0 0 12 1212 48480 228 2344 0.188118811881188 0.0483498349834983
40 20 2 0.001999 0.16334 0 0 13 978 39120 153 1500 0.156441717791411 0.0383435582822086
40 20 2 0.001999 0.16334 0 0 14 1034 41360 159 1397 0.153771760154739 0.0337765957446809
40 20 2 0.001999 0.16334 0 0 15 929 37160 143 1242 0.153928955866523 0.0334230355220667
40 20 2 0.001999 0.16334 0 0 16 1122 44880 188 1749 0.167557932263815 0.0389705882352941
40 20 2 0.001999 0.16334 0 0 17 866 34640 97 1353 0.112009237875289 0.0390588914549654
40 20 2 0.001999 0.16334 0 0 18 931 37240 119 1107 0.12781954887218 0.0297261009667025
40 20 2 0.001999 0.16334 0 0 19 790 31600 93 849 0.117721518987342 0.0268670886075949
40 20 2 0.001999 0.16334 0 0 20 959 38360 136 1879 0.141814389989572 0.0489833159541189
